student_id,course_id,semester,grade,gpa,pass,Result,department_id,credits
S10555,C165,Spring,C,2.0,1,Pass,D1,4
S16781,C231,Summer,C,2.0,1,Pass,D15,3
S14491,C270,Spring,A,4.0,1,Distinction,D16,2
S16803,C233,Spring,C,2.0,1,Pass,D20,2
S19434,C279,Summer,F,0.0,0,Fail,D9,4
S11963,C28,Summer,A,4.0,1,Distinction,D20,2
S18560,C63,Spring,F,0.0,0,Fail,D13,5
S15386,C71,Summer,D,1.0,1,Pass,D6,4
S15949,C125,Summer,C,2.0,1,Pass,D11,5
S16300,C189,Summer,B,3.0,1,Distinction,D4,5
S12760,C159,Spring,F,0.0,0,Fail,D17,2
S16911,C298,Summer,B,3.0,1,Distinction,D3,4
S16885,C36,Spring,A,4.0,1,Distinction,D14,3
S15816,C37,Fall,F,0.0,0,Fail,D14,5
S15753,C140,Spring,D,1.0,1,Pass,D18,2
S10772,C299,Fall,C,2.0,1,Pass,D1,3
S12736,C165,Summer,B,3.0,1,Distinction,D1,4
S17092,C221,Fall,B,3.0,1,Distinction,D19,5
S13122,C91,Summer,C,2.0,1,Pass,D15,5
S12036,C288,Summer,A,4.0,1,Distinction,D3,4
S10629,C98,Summer,D,1.0,1,Pass,D7,2
S13307,C110,Fall,D,1.0,1,Pass,D13,4
S17325,C82,Summer,C,2.0,1,Pass,D16,5
S17808,C204,Summer,C,2.0,1,Pass,D6,2
S10113,C215,Fall,B,3.0,1,Distinction,D19,2
S13847,C196,Summer,B,3.0,1,Distinction,D10,2
S16894,C165,Fall,A,4.0,1,Distinction,D1,4
S16979,C180,Summer,C,2.0,1,Pass,D16,2
S15675,C226,Fall,C,2.0,1,Pass,D6,2
S12980,C6,Summer,B,3.0,1,Distinction,D12,3
S10348,C160,Spring,F,0.0,0,Fail,D7,4
S17357,C185,Spring,F,0.0,0,Fail,D13,3
S15503,C259,Summer,F,0.0,0,Fail,D19,5
S10168,C238,Summer,C,2.0,1,Pass,D18,2
S12947,C250,Summer,F,0.0,0,Fail,D12,4
S11363,C193,Spring,A,4.0,1,Distinction,D13,4
S15048,C209,Fall,C,2.0,1,Pass,D7,5
S10010,C114,Fall,F,0.0,0,Fail,D10,5
S17127,C97,Spring,A,4.0,1,Distinction,D11,5
S12145,C274,Fall,D,1.0,1,Pass,D4,3
S17032,C255,Fall,F,0.0,0,Fail,D8,2
S18068,C15,Summer,D,1.0,1,Pass,D9,5
S13003,C292,Summer,F,0.0,0,Fail,D4,2
S17115,C75,Fall,F,0.0,0,Fail,D2,3
S16181,C51,Spring,C,2.0,1,Pass,D18,2
S17715,C192,Fall,F,0.0,0,Fail,D10,2
S16242,C245,Spring,A,4.0,1,Distinction,D2,3
S14841,C223,Spring,F,0.0,0,Fail,D17,3
S16715,C295,Summer,A,4.0,1,Distinction,D10,2
S14612,C109,Fall,D,1.0,1,Pass,D7,5
S19105,C63,Spring,F,0.0,0,Fail,D13,5
S11455,C95,Spring,A,4.0,1,Distinction,D11,4
S15515,C104,Spring,A,4.0,1,Distinction,D18,3
S18945,C128,Summer,D,1.0,1,Pass,D10,3
S18859,C131,Fall,D,1.0,1,Pass,D11,5
S16456,C162,Spring,F,0.0,0,Fail,D3,4
S16760,C21,Fall,C,2.0,1,Pass,D7,3
S10308,C55,Fall,C,2.0,1,Pass,D16,3
S19270,C166,Spring,F,0.0,0,Fail,D16,5
S18520,C232,Summer,B,3.0,1,Distinction,D3,3
S19541,C147,Spring,B,3.0,1,Distinction,D20,4
S15366,C256,Spring,F,0.0,0,Fail,D19,4
S10565,C217,Fall,F,0.0,0,Fail,D10,2
S16779,C26,Fall,A,4.0,1,Distinction,D10,2
S18802,C93,Spring,F,0.0,0,Fail,D13,4
S16178,C41,Summer,F,0.0,0,Fail,D2,3
S14617,C256,Summer,B,3.0,1,Distinction,D19,4
S16804,C271,Fall,B,3.0,1,Distinction,D7,5
S10998,C21,Fall,B,3.0,1,Distinction,D7,3
S19541,C163,Summer,B,3.0,1,Distinction,D1,5
S18274,C165,Fall,C,2.0,1,Pass,D1,4
S17916,C291,Spring,A,4.0,1,Distinction,D3,2
S12752,C112,Summer,C,2.0,1,Pass,D19,4
S11234,C210,Fall,C,2.0,1,Pass,D7,5
S10819,C23,Fall,B,3.0,1,Distinction,D6,2
S17360,C29,Summer,C,2.0,1,Pass,D15,3
S13213,C272,Spring,C,2.0,1,Pass,D9,5
S18350,C2,Fall,F,0.0,0,Fail,D4,5
S15740,C15,Summer,B,3.0,1,Distinction,D9,5
S17410,C244,Fall,D,1.0,1,Pass,D4,2
S16782,C188,Spring,A,4.0,1,Distinction,D7,5
S12647,C96,Spring,A,4.0,1,Distinction,D8,4
S13129,C265,Spring,A,4.0,1,Distinction,D9,2
S17143,C29,Summer,F,0.0,0,Fail,D15,3
S10466,C294,Spring,A,4.0,1,Distinction,D1,2
S11309,C81,Fall,D,1.0,1,Pass,D9,3
S12284,C113,Spring,B,3.0,1,Distinction,D5,3
S18875,C43,Summer,D,1.0,1,Pass,D12,5
S17202,C41,Fall,A,4.0,1,Distinction,D2,3
S17874,C155,Summer,A,4.0,1,Distinction,D17,4
S13552,C218,Summer,B,3.0,1,Distinction,D1,2
S16294,C269,Spring,B,3.0,1,Distinction,D14,2
S19216,C264,Summer,B,3.0,1,Distinction,D8,4
S16680,C299,Fall,A,4.0,1,Distinction,D1,3
S15789,C128,Summer,F,0.0,0,Fail,D10,3
S17751,C165,Summer,C,2.0,1,Pass,D1,4
S11700,C250,Fall,F,0.0,0,Fail,D12,4
S10395,C106,Fall,C,2.0,1,Pass,D8,2
S18802,C15,Summer,F,0.0,0,Fail,D9,5
S14961,C249,Fall,B,3.0,1,Distinction,D6,2
S11385,C299,Summer,B,3.0,1,Distinction,D1,3
S14434,C91,Summer,F,0.0,0,Fail,D15,5
S15746,C241,Summer,A,4.0,1,Distinction,D11,2
S14622,C52,Fall,B,3.0,1,Distinction,D12,5
S13429,C182,Spring,A,4.0,1,Distinction,D1,2
S18648,C289,Fall,B,3.0,1,Distinction,D9,5
S14702,C6,Summer,F,0.0,0,Fail,D12,3
S10614,C112,Summer,B,3.0,1,Distinction,D19,4
S15065,C115,Summer,A,4.0,1,Distinction,D4,2
S11756,C21,Summer,C,2.0,1,Pass,D7,3
S12260,C181,Summer,C,2.0,1,Pass,D18,4
S10552,C187,Summer,F,0.0,0,Fail,D19,5
S10894,C149,Summer,B,3.0,1,Distinction,D18,5
S10452,C284,Fall,D,1.0,1,Pass,D16,3
S17960,C86,Spring,F,0.0,0,Fail,D13,5
S14245,C10,Summer,D,1.0,1,Pass,D4,4
S19402,C67,Spring,A,4.0,1,Distinction,D3,3
S16541,C224,Fall,F,0.0,0,Fail,D3,4
S10003,C233,Summer,B,3.0,1,Distinction,D20,2
S14894,C89,Summer,D,1.0,1,Pass,D6,2
S14380,C194,Fall,C,2.0,1,Pass,D7,2
S15981,C87,Fall,C,2.0,1,Pass,D19,4
S15814,C141,Summer,B,3.0,1,Distinction,D5,3
S17595,C109,Summer,F,0.0,0,Fail,D7,5
S17504,C27,Fall,C,2.0,1,Pass,D10,4
S10684,C28,Summer,C,2.0,1,Pass,D20,2
S15734,C298,Fall,F,0.0,0,Fail,D3,4
S14343,C72,Fall,D,1.0,1,Pass,D12,3
S19482,C91,Summer,B,3.0,1,Distinction,D15,5
S11287,C199,Summer,F,0.0,0,Fail,D6,2
S15240,C294,Fall,B,3.0,1,Distinction,D1,2
S18736,C99,Spring,A,4.0,1,Distinction,D18,4
S11683,C19,Summer,A,4.0,1,Distinction,D11,4
S16136,C236,Summer,F,0.0,0,Fail,D1,3
S17497,C290,Fall,F,0.0,0,Fail,D18,3
S18155,C241,Fall,C,2.0,1,Pass,D11,2
S16800,C223,Spring,B,3.0,1,Distinction,D17,3
S11158,C12,Spring,A,4.0,1,Distinction,D6,5
S16761,C205,Summer,D,1.0,1,Pass,D13,2
S10579,C219,Fall,D,1.0,1,Pass,D7,5
S11867,C233,Summer,F,0.0,0,Fail,D20,2
S17001,C282,Fall,D,1.0,1,Pass,D3,4
S13321,C105,Summer,A,4.0,1,Distinction,D11,4
S14341,C32,Summer,F,0.0,0,Fail,D6,5
S12211,C115,Summer,A,4.0,1,Distinction,D4,2
S17083,C76,Summer,F,0.0,0,Fail,D20,3
S12763,C35,Summer,A,4.0,1,Distinction,D17,4
S17222,C298,Spring,B,3.0,1,Distinction,D3,4
S12322,C26,Summer,F,0.0,0,Fail,D10,2
S12625,C72,Summer,A,4.0,1,Distinction,D12,3
S15639,C65,Fall,F,0.0,0,Fail,D11,2
S11655,C41,Fall,F,0.0,0,Fail,D2,3
S14507,C115,Fall,B,3.0,1,Distinction,D4,2
S16277,C293,Spring,A,4.0,1,Distinction,D13,2
S17590,C292,Spring,C,2.0,1,Pass,D4,2
S19757,C209,Spring,A,4.0,1,Distinction,D7,5
S11806,C207,Spring,A,4.0,1,Distinction,D12,3
S12141,C193,Spring,D,1.0,1,Pass,D13,4
S12937,C90,Fall,D,1.0,1,Pass,D10,5
S19630,C126,Fall,C,2.0,1,Pass,D9,4
S16072,C247,Spring,B,3.0,1,Distinction,D13,4
S10698,C237,Summer,C,2.0,1,Pass,D14,3
S17524,C43,Summer,B,3.0,1,Distinction,D12,5
S15315,C7,Summer,C,2.0,1,Pass,D6,2
S13693,C271,Fall,F,0.0,0,Fail,D7,5
S17880,C182,Spring,D,1.0,1,Pass,D1,2
S17660,C243,Fall,D,1.0,1,Pass,D20,3
S10542,C2,Fall,F,0.0,0,Fail,D4,5
S17831,C201,Summer,B,3.0,1,Distinction,D9,3
S11559,C208,Fall,F,0.0,0,Fail,D13,5
S13582,C30,Summer,B,3.0,1,Distinction,D14,4
S17794,C118,Fall,B,3.0,1,Distinction,D3,3
S16751,C100,Fall,B,3.0,1,Distinction,D19,4
S16107,C252,Summer,A,4.0,1,Distinction,D1,3
S14688,C218,Spring,C,2.0,1,Pass,D1,2
S18472,C53,Summer,A,4.0,1,Distinction,D6,3
S11061,C69,Fall,A,4.0,1,Distinction,D16,5
S11858,C121,Fall,B,3.0,1,Distinction,D14,5
S14304,C185,Fall,A,4.0,1,Distinction,D13,3
S19897,C29,Fall,C,2.0,1,Pass,D15,3
S19237,C66,Spring,A,4.0,1,Distinction,D19,2
S14764,C34,Spring,D,1.0,1,Pass,D19,2
S16588,C229,Fall,A,4.0,1,Distinction,D10,3
S11038,C232,Summer,F,0.0,0,Fail,D3,3
S18365,C206,Spring,C,2.0,1,Pass,D10,4
S11559,C21,Summer,D,1.0,1,Pass,D7,3
S16636,C63,Fall,C,2.0,1,Pass,D13,5
S16805,C212,Spring,B,3.0,1,Distinction,D4,2
S13547,C139,Spring,D,1.0,1,Pass,D13,4
S17148,C267,Spring,A,4.0,1,Distinction,D7,4
S11798,C298,Fall,C,2.0,1,Pass,D3,4
S13072,C257,Fall,D,1.0,1,Pass,D20,3
S13036,C170,Spring,D,1.0,1,Pass,D13,4
S18302,C161,Spring,C,2.0,1,Pass,D15,4
S18050,C23,Summer,A,4.0,1,Distinction,D6,2
S10375,C133,Summer,C,2.0,1,Pass,D14,4
S14730,C121,Spring,B,3.0,1,Distinction,D14,5
S11038,C181,Fall,A,4.0,1,Distinction,D18,4
S18653,C172,Fall,B,3.0,1,Distinction,D16,2
S10139,C259,Spring,C,2.0,1,Pass,D19,5
S13397,C195,Spring,C,2.0,1,Pass,D19,2
S16771,C187,Spring,C,2.0,1,Pass,D19,5
S16380,C15,Spring,C,2.0,1,Pass,D9,5
S16172,C78,Fall,A,4.0,1,Distinction,D14,4
S13522,C100,Fall,C,2.0,1,Pass,D19,4
S15799,C55,Fall,B,3.0,1,Distinction,D16,3
S11258,C15,Spring,D,1.0,1,Pass,D9,5
S17524,C92,Spring,D,1.0,1,Pass,D9,2
S18110,C13,Fall,C,2.0,1,Pass,D8,4
S10669,C20,Spring,F,0.0,0,Fail,D5,2
S17658,C64,Summer,B,3.0,1,Distinction,D12,5
S15615,C38,Fall,F,0.0,0,Fail,D7,5
S19639,C161,Fall,D,1.0,1,Pass,D15,4
S17329,C230,Spring,F,0.0,0,Fail,D19,5
S14831,C135,Summer,D,1.0,1,Pass,D19,4
S11092,C108,Fall,A,4.0,1,Distinction,D10,4
S16062,C254,Summer,C,2.0,1,Pass,D13,2
S11217,C272,Summer,F,0.0,0,Fail,D9,5
S18790,C215,Summer,F,0.0,0,Fail,D19,2
S11366,C42,Summer,F,0.0,0,Fail,D19,3
S15940,C197,Summer,D,1.0,1,Pass,D15,5
S19556,C252,Fall,A,4.0,1,Distinction,D1,3
S14261,C14,Spring,A,4.0,1,Distinction,D20,2
S11449,C69,Fall,F,0.0,0,Fail,D16,5
S11678,C45,Fall,F,0.0,0,Fail,D14,3
S18081,C150,Fall,A,4.0,1,Distinction,D3,5
S13463,C297,Fall,B,3.0,1,Distinction,D19,4
S15279,C253,Fall,B,3.0,1,Distinction,D4,4
S12521,C270,Spring,D,1.0,1,Pass,D16,2
S11187,C148,Summer,B,3.0,1,Distinction,D20,4
S19720,C181,Summer,A,4.0,1,Distinction,D18,4
S10159,C64,Fall,D,1.0,1,Pass,D12,5
S17352,C278,Spring,D,1.0,1,Pass,D18,3
S13141,C245,Summer,C,2.0,1,Pass,D2,3
S19120,C216,Fall,F,0.0,0,Fail,D19,5
S10388,C78,Fall,C,2.0,1,Pass,D14,4
S18665,C140,Spring,A,4.0,1,Distinction,D18,2
S16495,C200,Fall,F,0.0,0,Fail,D11,4
S10025,C136,Summer,F,0.0,0,Fail,D1,2
S15834,C51,Spring,D,1.0,1,Pass,D18,2
S17791,C119,Spring,F,0.0,0,Fail,D6,5
S12135,C18,Spring,C,2.0,1,Pass,D10,2
S13058,C281,Summer,D,1.0,1,Pass,D2,2
S17584,C116,Spring,A,4.0,1,Distinction,D11,2
S10980,C247,Spring,D,1.0,1,Pass,D13,4
S16378,C101,Spring,D,1.0,1,Pass,D14,2
S18796,C35,Summer,D,1.0,1,Pass,D17,4
S16160,C230,Summer,A,4.0,1,Distinction,D19,5
S14504,C269,Summer,C,2.0,1,Pass,D14,2
S17780,C193,Summer,B,3.0,1,Distinction,D13,4
S10972,C83,Fall,F,0.0,0,Fail,D12,5
S14475,C169,Spring,C,2.0,1,Pass,D5,3
S18202,C71,Fall,C,2.0,1,Pass,D6,4
S16801,C290,Spring,B,3.0,1,Distinction,D18,3
S16604,C119,Fall,A,4.0,1,Distinction,D6,5
S10620,C246,Spring,F,0.0,0,Fail,D4,5
S10881,C198,Spring,B,3.0,1,Distinction,D13,3
S14524,C219,Spring,B,3.0,1,Distinction,D7,5
S14282,C296,Fall,B,3.0,1,Distinction,D19,3
S10038,C238,Spring,B,3.0,1,Distinction,D18,2
S17268,C150,Fall,C,2.0,1,Pass,D3,5
S10861,C281,Fall,C,2.0,1,Pass,D2,2
S11155,C162,Summer,D,1.0,1,Pass,D3,4
S17506,C244,Summer,B,3.0,1,Distinction,D4,2
S17573,C95,Spring,B,3.0,1,Distinction,D11,4
S17138,C193,Summer,B,3.0,1,Distinction,D13,4
S17429,C45,Spring,D,1.0,1,Pass,D14,3
S10790,C9,Fall,F,0.0,0,Fail,D13,4
S18495,C2,Fall,C,2.0,1,Pass,D4,5
S17152,C12,Spring,B,3.0,1,Distinction,D6,5
S11686,C182,Summer,B,3.0,1,Distinction,D1,2
S14564,C50,Summer,F,0.0,0,Fail,D19,4
S12594,C72,Summer,B,3.0,1,Distinction,D12,3
S17982,C56,Spring,F,0.0,0,Fail,D8,5
S15152,C268,Spring,D,1.0,1,Pass,D16,3
S11064,C55,Fall,A,4.0,1,Distinction,D16,3
S13884,C173,Spring,B,3.0,1,Distinction,D6,4
S19915,C266,Spring,C,2.0,1,Pass,D9,4
S16076,C231,Spring,A,4.0,1,Distinction,D15,3
S10752,C59,Summer,B,3.0,1,Distinction,D3,5
S19395,C297,Summer,A,4.0,1,Distinction,D19,4
S11181,C92,Spring,F,0.0,0,Fail,D9,2
S11428,C85,Summer,D,1.0,1,Pass,D8,5
S16462,C300,Summer,D,1.0,1,Pass,D2,3
S19220,C164,Spring,F,0.0,0,Fail,D8,2
S17190,C66,Fall,C,2.0,1,Pass,D19,2
S14779,C170,Spring,A,4.0,1,Distinction,D13,4
S12327,C275,Fall,A,4.0,1,Distinction,D10,3
S17898,C255,Fall,A,4.0,1,Distinction,D8,2
S10157,C122,Fall,A,4.0,1,Distinction,D7,3
S14353,C285,Summer,C,2.0,1,Pass,D20,3
S14938,C89,Spring,C,2.0,1,Pass,D6,2
S14779,C110,Summer,B,3.0,1,Distinction,D13,4
S11684,C83,Fall,D,1.0,1,Pass,D12,5
S11835,C1,Summer,F,0.0,0,Fail,D19,4
S16380,C249,Fall,D,1.0,1,Pass,D6,2
S16673,C277,Summer,F,0.0,0,Fail,D19,3
S15182,C300,Summer,A,4.0,1,Distinction,D2,3
S10720,C207,Spring,C,2.0,1,Pass,D12,3
S13927,C68,Summer,C,2.0,1,Pass,D9,4
S19549,C16,Spring,C,2.0,1,Pass,D11,2
S13537,C204,Spring,A,4.0,1,Distinction,D6,2
S15235,C22,Spring,A,4.0,1,Distinction,D10,3
S12246,C236,Fall,F,0.0,0,Fail,D1,3
S19847,C272,Spring,B,3.0,1,Distinction,D9,5
S15373,C236,Fall,A,4.0,1,Distinction,D1,3
S19913,C272,Fall,C,2.0,1,Pass,D9,5
S12766,C87,Summer,A,4.0,1,Distinction,D19,4
S16669,C239,Spring,D,1.0,1,Pass,D8,5
S10969,C1,Summer,B,3.0,1,Distinction,D19,4
S12578,C204,Spring,A,4.0,1,Distinction,D6,2
S16110,C10,Summer,B,3.0,1,Distinction,D4,4
S12540,C3,Summer,B,3.0,1,Distinction,D7,5
S11239,C18,Spring,B,3.0,1,Distinction,D10,2
S16839,C142,Fall,B,3.0,1,Distinction,D10,4
S14238,C72,Fall,C,2.0,1,Pass,D12,3
S13559,C95,Fall,A,4.0,1,Distinction,D11,4
S10433,C20,Fall,B,3.0,1,Distinction,D5,2
S12722,C281,Fall,B,3.0,1,Distinction,D2,2
S14763,C15,Spring,F,0.0,0,Fail,D9,5
S11398,C73,Summer,A,4.0,1,Distinction,D8,2
S18756,C228,Spring,B,3.0,1,Distinction,D13,2
S11471,C95,Fall,C,2.0,1,Pass,D11,4
S15558,C214,Summer,D,1.0,1,Pass,D5,5
S19987,C10,Summer,F,0.0,0,Fail,D4,4
S17944,C235,Spring,A,4.0,1,Distinction,D15,4
S13334,C136,Summer,C,2.0,1,Pass,D1,2
S14870,C92,Spring,C,2.0,1,Pass,D9,2
S19655,C148,Fall,C,2.0,1,Pass,D20,4
S11324,C156,Summer,A,4.0,1,Distinction,D3,5
S14472,C86,Fall,D,1.0,1,Pass,D13,5
S10812,C83,Fall,F,0.0,0,Fail,D12,5
S16286,C63,Fall,F,0.0,0,Fail,D13,5
S19599,C248,Spring,C,2.0,1,Pass,D4,4
S13202,C173,Summer,C,2.0,1,Pass,D6,4
S19392,C294,Spring,A,4.0,1,Distinction,D1,2
S18901,C195,Spring,C,2.0,1,Pass,D19,2
S12760,C126,Summer,A,4.0,1,Distinction,D9,4
S12579,C57,Spring,D,1.0,1,Pass,D12,5
S17362,C80,Fall,A,4.0,1,Distinction,D4,2
S19877,C90,Fall,A,4.0,1,Distinction,D10,5
S18429,C119,Summer,F,0.0,0,Fail,D6,5
S17019,C245,Summer,B,3.0,1,Distinction,D2,3
S12562,C99,Fall,F,0.0,0,Fail,D18,4
S15094,C242,Spring,C,2.0,1,Pass,D8,3
S10606,C82,Spring,D,1.0,1,Pass,D16,5
S19531,C274,Summer,D,1.0,1,Pass,D4,3
S11786,C202,Fall,C,2.0,1,Pass,D5,2
S13255,C128,Fall,D,1.0,1,Pass,D10,3
S19824,C248,Spring,C,2.0,1,Pass,D4,4
S16759,C134,Summer,A,4.0,1,Distinction,D8,2
S19567,C284,Spring,D,1.0,1,Pass,D16,3
S15982,C17,Fall,B,3.0,1,Distinction,D14,5
S10908,C43,Summer,B,3.0,1,Distinction,D12,5
S14702,C258,Fall,A,4.0,1,Distinction,D9,2
S17981,C67,Fall,F,0.0,0,Fail,D3,3
S15280,C48,Fall,F,0.0,0,Fail,D8,3
S11490,C15,Summer,F,0.0,0,Fail,D9,5
S19800,C125,Spring,D,1.0,1,Pass,D11,5
S10031,C297,Summer,A,4.0,1,Distinction,D19,4
S12343,C26,Spring,F,0.0,0,Fail,D10,2
S12690,C111,Spring,C,2.0,1,Pass,D16,5
S16806,C277,Spring,A,4.0,1,Distinction,D19,3
S11101,C300,Spring,B,3.0,1,Distinction,D2,3
S14437,C286,Fall,B,3.0,1,Distinction,D7,3
S18658,C211,Fall,D,1.0,1,Pass,D20,3
S17925,C21,Spring,F,0.0,0,Fail,D7,3
S11787,C115,Fall,B,3.0,1,Distinction,D4,2
S14925,C5,Summer,A,4.0,1,Distinction,D6,5
S17865,C266,Fall,B,3.0,1,Distinction,D9,4
S15992,C134,Fall,B,3.0,1,Distinction,D8,2
