student_id,Overall_GPA,Internal_Marks,Attendance_Pct,Attendance_Level,Course_Load,Faculty_Interaction,Courses_Enrolled,Pass_Rate,Academic_Result,Student_Segment,Dropout_Risk,Dropout_Risk_Score,GPA_Tier
S10021,2.3333333333333335,58.33,100.0,High (>75%),18.0,5.0,5.0,1.0,Pass,Average Performers,Low Risk,0.0,Good (2-3)
S10022,2.0,50.0,71.43,Medium (50-75%),10.0,2.0,2.0,1.0,Pass,High Achievers,Low Risk,0.0,Pass (1-2)
S10023,3.3333333333333335,83.33,0.0,Low (<50%),15.0,5.0,5.0,1.0,Distinction,Struggling Students,High Risk,1.0,Excellent (3-4)
S10024,1.3333333333333333,33.33,100.0,High (>75%),15.0,5.0,5.0,0.6666666666666666,Fail,At-Risk Students,High Risk,1.0,Pass (1-2)
S10025,2.0,50.0,100.0,High (>75%),20.0,5.0,5.0,0.8571428571428571,Pass,Average Performers,Low Risk,0.0,Pass (1-2)
S10026,0.0,0.0,100.0,High (>75%),25.0,8.0,8.0,0.0,Fail,At-Risk Students,High Risk,1.0,
S10027,2.3333333333333335,58.33,66.67,Medium (50-75%),11.0,3.0,3.0,1.0,Pass,High Achievers,Low Risk,0.0,Good (2-3)
S10028,2.0833333333333335,52.08,33.33,Low (<50%),2.0,1.0,1.0,0.9166666666666666,Pass,Struggling Students,High Risk,1.0,Good (2-3)
S10029,2.0,50.0,66.67,,4.0,1.0,1.0,1.0,Pass,High Achievers,Low Risk,0.0,Pass (1-2)
S10030,1.3333333333333333,33.33,50.0,Medium (50-75%),21.0,5.0,5.0,1.0,Fail,Average Performers,High Risk,1.0,Pass (1-2)
S10031,4.0,100.0,50.0,Medium (50-75%),18.0,4.0,5.0,1.0,Distinction,High Achievers,Low Risk,0.0005,Excellent (3-4)
S10032,0.6666666666666666,16.67,60.0,Medium (50-75%),21.0,6.0,6.0,0.6666666666666666,Fail,At-Risk Students,High Risk,1.0,Failing (0-1)
S10033,3.25,81.25,50.0,Medium (50-75%),21.0,6.0,6.0,1.0,Distinction,Average Performers,Low Risk,0.0,Excellent (3-4)
S10034,3.0,75.0,50.0,Medium (50-75%),13.0,4.0,4.0,1.0,Distinction,High Achievers,Low Risk,0.0,Good (2-3)
S10035,4.0,100.0,0.0,Low (<50%),10.0,3.0,3.0,1.0,Distinction,Struggling Students,High Risk,1.0,Excellent (3-4)
S10036,1.3333333333333333,33.33,66.67,Medium (50-75%),18.0,5.0,5.0,1.0,Fail,Average Performers,High Risk,1.0,Pass (1-2)
S10037,1.0,25.0,100.0,High (>75%),9.0,3.0,3.0,0.4,Fail,At-Risk Students,High Risk,1.0,Failing (0-1)
S10038,3.5,87.5,100.0,High (>75%),11.0,4.0,4.0,1.0,Distinction,High Achievers,Low Risk,0.0,Excellent (3-4)
S10039,0.75,18.75,50.0,Medium (50-75%),22.0,5.0,5.0,0.5,Fail,At-Risk Students,High Risk,1.0,Failing (0-1)
S10040,2.0,50.0,33.33,Low (<50%),8.0,2.0,2.0,1.0,Pass,Struggling Students,High Risk,1.0,Pass (1-2)
S10041,2.0,50.0,50.0,Medium (50-75%),16.0,6.0,6.0,0.6666666666666666,Pass,Struggling Students,Low Risk,0.0,Pass (1-2)
S10042,3.0,75.0,66.67,Medium (50-75%),20.0,6.0,6.0,1.0,Distinction,Average Performers,Low Risk,0.0,Good (2-3)
S10043,1.3333333333333333,33.33,100.0,High (>75%),26.0,7.0,7.0,0.3333333333333333,Fail,At-Risk Students,High Risk,1.0,Pass (1-2)
S10044,2.25,56.25,100.0,High (>75%),17.0,5.0,5.0,0.75,Pass,Average Performers,Low Risk,0.0,Good (2-3)
S10045,1.5714285714285714,39.29,66.67,Medium (50-75%),8.0,3.0,3.0,0.7142857142857143,Fail,At-Risk Students,Low Risk,0.0001,Pass (1-2)
S10046,3.0,75.0,40.0,Low (<50%),6.0,3.0,3.0,1.0,Distinction,Struggling Students,High Risk,1.0,Good (2-3)
S10047,2.25,56.25,75.0,High (>75%),21.0,4.0,5.0,0.75,Pass,Average Performers,Low Risk,0.0,Good (2-3)
S10048,2.0,50.0,66.67,Medium (50-75%),19.0,4.0,4.0,0.5,Pass,At-Risk Students,Low Risk,0.0,Pass (1-2)
S10049,2.0,50.0,0.0,Low (<50%),18.0,6.0,6.0,1.0,Pass,Struggling Students,High Risk,1.0,Pass (1-2)
S10050,2.0,50.0,75.0,High (>75%),11.0,3.0,3.0,0.875,Pass,High Achievers,Low Risk,0.0,Pass (1-2)
S10051,3.0,75.0,50.0,Medium (50-75%),7.0,2.0,2.0,1.0,Distinction,High Achievers,Low Risk,0.0001,Good (2-3)
S10052,2.0,50.0,100.0,High (>75%),36.0,8.0,9.0,0.8,Pass,Average Performers,Low Risk,0.0,Pass (1-2)
S10053,2.2,55.0,50.0,Medium (50-75%),20.0,6.0,6.0,1.0,Pass,Average Performers,Low Risk,0.0,Good (2-3)
S10054,1.25,31.25,66.67,Medium (50-75%),21.0,6.0,6.0,0.75,Fail,Average Performers,High Risk,1.0,Pass (1-2)
S10055,2.0,50.0,66.67,Medium (50-75%),7.0,2.0,2.0,1.0,Pass,High Achievers,Low Risk,0.0,Pass (1-2)
S10056,1.7142857142857142,42.86,100.0,High (>75%),13.0,3.0,3.0,1.0,Pass,High Achievers,Low Risk,0.0,Pass (1-2)
S10057,2.6666666666666665,66.67,33.33,Low (<50%),22.0,6.0,6.0,0.7777777777777778,Pass,Average Performers,High Risk,1.0,Good (2-3)
S10058,1.6666666666666667,41.67,75.0,High (>75%),17.0,6.0,6.0,1.0,Pass,Average Performers,Low Risk,0.0,Pass (1-2)
S10059,0.0,0.0,85.71,High (>75%),18.0,4.0,4.0,0.0,Fail,At-Risk Students,High Risk,1.0,
S10060,0.0,0.0,75.0,High (>75%),5.0,2.0,2.0,0.0,Fail,At-Risk Students,High Risk,1.0,
S10061,2.25,56.25,66.67,,21.0,6.0,6.0,0.75,Pass,Average Performers,Low Risk,0.0,Good (2-3)
S10062,3.2,80.0,60.0,Medium (50-75%),18.0,4.0,4.0,1.0,Distinction,Average Performers,Low Risk,0.0,Excellent (3-4)
S10063,4.0,100.0,75.0,High (>75%),11.0,3.0,3.0,1.0,Distinction,High Achievers,Low Risk,0.0,Excellent (3-4)
S10064,2.3333333333333335,58.33,75.0,High (>75%),25.0,7.0,7.0,1.0,Pass,Average Performers,Low Risk,0.0,Good (2-3)
S10065,2.0,50.0,75.0,High (>75%),5.0,2.0,2.0,0.6666666666666666,Pass,High Achievers,Low Risk,0.0,Pass (1-2)
S10066,2.5,62.5,40.0,Low (<50%),13.0,4.0,4.0,1.0,Pass,Struggling Students,High Risk,1.0,Good (2-3)
S10067,2.0,50.0,66.67,Medium (50-75%),6.0,2.0,2.0,0.6666666666666666,Pass,High Achievers,Low Risk,0.0,Pass (1-2)
S10068,2.25,56.25,75.0,High (>75%),11.0,4.0,4.0,0.75,Pass,High Achievers,Low Risk,0.0,Good (2-3)
S10069,1.0,25.0,83.33,High (>75%),20.0,7.0,7.0,0.3333333333333333,Fail,At-Risk Students,High Risk,1.0,Failing (0-1)
S10070,2.5,62.5,83.33,High (>75%),21.0,6.0,6.0,1.0,Pass,Average Performers,Low Risk,0.0,Good (2-3)
S10071,2.7142857142857144,67.86,100.0,High (>75%),26.0,9.0,9.0,1.0,Pass,Average Performers,Low Risk,0.0,Good (2-3)
S10072,0.0,0.0,0.0,Low (<50%),18.0,6.0,6.0,0.0,Fail,At-Risk Students,High Risk,1.0,
S10073,2.6,65.0,100.0,High (>75%),34.0,9.0,9.0,1.0,Pass,Average Performers,Low Risk,0.0,Good (2-3)
S10074,2.0,50.0,50.0,Medium (50-75%),19.0,6.0,6.0,0.8571428571428571,Pass,Average Performers,Low Risk,0.0,Pass (1-2)
S10075,3.0,75.0,100.0,High (>75%),4.0,1.0,1.0,1.0,Distinction,High Achievers,Low Risk,0.0,Good (2-3)
S10076,3.0,75.0,50.0,Medium (50-75%),14.0,3.0,3.0,1.0,Distinction,High Achievers,Low Risk,0.0,Good (2-3)
S10077,0.0,0.0,75.0,High (>75%),12.0,3.0,3.0,0.0,Fail,At-Risk Students,High Risk,1.0,
S10078,2.75,68.75,66.67,Medium (50-75%),38.0,11.0,11.0,1.0,Pass,Average Performers,Low Risk,0.0,Good (2-3)
S10079,2.25,56.25,100.0,High (>75%),17.0,6.0,6.0,0.75,Pass,Average Performers,Low Risk,0.0,Good (2-3)
S10080,1.25,31.25,100.0,High (>75%),28.0,7.0,7.0,0.75,Fail,Average Performers,High Risk,1.0,Pass (1-2)
S10081,2.5,62.5,100.0,High (>75%),16.0,4.0,4.0,1.0,Pass,High Achievers,Low Risk,0.0,Good (2-3)
S10082,4.0,100.0,33.33,Low (<50%),7.0,2.0,2.0,1.0,Distinction,High Achievers,High Risk,1.0,Excellent (3-4)
S10083,2.5,62.5,40.0,Low (<50%),8.0,3.0,3.0,1.0,Pass,Struggling Students,High Risk,1.0,Good (2-3)
S10084,1.5,37.5,50.0,Medium (50-75%),12.0,3.0,3.0,1.0,Fail,Struggling Students,Low Risk,0.0117,Pass (1-2)
S10085,2.0,50.0,100.0,High (>75%),10.0,3.0,3.0,1.0,Pass,High Achievers,Low Risk,0.0,Pass (1-2)
S10086,3.0,75.0,50.0,Medium (50-75%),5.0,1.0,1.0,1.0,Distinction,High Achievers,Low Risk,0.0001,Good (2-3)
S10087,2.5714285714285716,64.29,33.33,Low (<50%),11.0,3.0,3.0,1.0,Pass,Struggling Students,High Risk,1.0,Good (2-3)
S10088,2.5,62.5,100.0,High (>75%),13.0,4.0,,1.0,Pass,High Achievers,Low Risk,0.0,Good (2-3)
S10089,0.0,0.0,100.0,High (>75%),10.0,3.0,3.0,0.0,Fail,At-Risk Students,High Risk,1.0,
S10090,2.0,50.0,75.0,High (>75%),12.0,3.0,3.0,1.0,Pass,High Achievers,Low Risk,0.0,Pass (1-2)
S10091,1.75,43.75,100.0,High (>75%),15.0,5.0,5.0,0.75,Pass,High Achievers,Low Risk,0.0,Pass (1-2)
S10092,2.1666666666666665,54.17,75.0,High (>75%),2.0,1.0,1.0,0.6666666666666666,Pass,High Achievers,Low Risk,0.0,Good (2-3)
S10093,1.6,40.0,0.0,Low (<50%),28.0,10.0,10.0,1.0,Pass,Struggling Students,High Risk,1.0,Pass (1-2)
S10094,2.3333333333333335,58.33,80.0,High (>75%),29.0,8.0,8.0,1.0,Pass,Average Performers,Low Risk,0.0,Good (2-3)
S10095,0.6666666666666666,16.67,66.67,Medium (50-75%),20.0,5.0,5.0,0.6666666666666666,Fail,At-Risk Students,High Risk,1.0,Failing (0-1)
S10096,1.0,25.0,33.33,Low (<50%),21.0,6.0,6.0,0.5,Fail,At-Risk Students,High Risk,1.0,Failing (0-1)
S10097,2.0,50.0,66.67,Medium (50-75%),11.0,3.0,3.0,1.0,Pass,High Achievers,Low Risk,0.0,Pass (1-2)
S10098,1.7142857142857142,42.86,60.0,Medium (50-75%),4.0,1.0,1.0,0.5714285714285714,Pass,At-Risk Students,Low Risk,0.0,Pass (1-2)
S10099,2.4,60.0,75.0,High (>75%),11.0,3.0,3.0,1.0,Pass,High Achievers,Low Risk,0.0,Good (2-3)
S10100,0.6666666666666666,16.67,50.0,Medium (50-75%),15.0,4.0,4.0,0.6666666666666666,Fail,At-Risk Students,High Risk,1.0,Failing (0-1)
S10101,2.142857142857143,53.57,60.0,Medium (50-75%),9.0,2.0,2.0,0.7142857142857143,Pass,High Achievers,Low Risk,0.0,Good (2-3)
S10102,0.6666666666666666,16.67,33.33,Low (<50%),11.0,4.0,4.0,0.3333333333333333,Fail,At-Risk Students,High Risk,1.0,Failing (0-1)
S10103,3.2,80.0,0.0,Low (<50%),15.0,4.0,4.0,1.0,Distinction,Struggling Students,High Risk,1.0,Excellent (3-4)
S10104,2.2,55.0,50.0,Medium (50-75%),16.0,4.0,4.0,0.8,Pass,Struggling Students,Low Risk,0.0,Good (2-3)
S10105,2.0,50.0,100.0,High (>75%),10.0,3.0,3.0,0.8,Pass,High Achievers,Low Risk,0.0,Pass (1-2)
S10106,3.0,75.0,0.0,Low (<50%),20.0,6.0,6.0,1.0,Distinction,Struggling Students,High Risk,1.0,Good (2-3)
S10107,1.5,37.5,66.67,Medium (50-75%),13.0,3.0,3.0,0.5,Fail,At-Risk Students,Low Risk,0.005,Pass (1-2)
S10108,1.5,37.5,0.0,Low (<50%),23.0,6.0,6.0,1.0,Fail,Struggling Students,High Risk,1.0,Pass (1-2)
S10109,1.0,25.0,28.57,Low (<50%),13.0,4.0,4.0,0.5,Fail,At-Risk Students,High Risk,1.0,Failing (0-1)
S10110,1.0,25.0,66.67,Medium (50-75%),19.0,5.0,5.0,0.3333333333333333,Fail,At-Risk Students,High Risk,1.0,Failing (0-1)
S10111,2.3333333333333335,58.33,57.14,Medium (50-75%),7.0,2.0,2.0,1.0,Pass,High Achievers,Low Risk,0.0,Good (2-3)
S10112,1.75,43.75,0.0,Low (<50%),13.0,5.0,5.0,0.75,Pass,Struggling Students,High Risk,1.0,Pass (1-2)
S10113,1.6666666666666667,41.67,0.0,Low (<50%),28.0,8.0,8.0,1.0,Pass,Struggling Students,High Risk,1.0,Pass (1-2)
S10114,1.6666666666666667,41.67,66.67,Medium (50-75%),16.0,4.0,4.0,1.0,Pass,Average Performers,Low Risk,0.0,Pass (1-2)
S10115,1.0,25.0,100.0,High (>75%),18.0,5.0,5.0,0.6666666666666666,Fail,At-Risk Students,High Risk,1.0,Failing (0-1)
S10116,1.5,37.5,50.0,Medium (50-75%),16.0,6.0,6.0,1.0,Fail,Struggling Students,Low Risk,0.0385,Pass (1-2)
S10117,4.0,100.0,100.0,High (>75%),14.0,4.0,4.0,1.0,Distinction,High Achievers,Low Risk,0.0,Excellent (3-4)
S10118,1.25,31.25,100.0,High (>75%),24.0,7.0,7.0,0.5,Fail,At-Risk Students,High Risk,1.0,Pass (1-2)
S10119,4.0,100.0,0.0,Low (<50%),26.0,6.0,6.0,1.0,Distinction,Struggling Students,High Risk,1.0,Excellent (3-4)
S10120,2.142857142857143,53.57,50.0,Medium (50-75%),9.0,3.0,3.0,0.8571428571428571,Pass,Struggling Students,Low Risk,0.0,Good (2-3)
S10121,2.0,50.0,100.0,High (>75%),29.0,9.0,9.0,1.0,Pass,Average Performers,Low Risk,0.0,Pass (1-2)
S10122,2.5,62.5,100.0,High (>75%),4.0,1.0,1.0,1.0,Pass,High Achievers,Low Risk,0.0,Good (2-3)
S10123,2.75,68.75,100.0,High (>75%),7.0,2.0,2.0,1.0,Pass,High Achievers,Low Risk,0.0,Good (2-3)
S10124,1.4,35.0,80.0,High (>75%),5.0,2.0,2.0,0.8,Fail,High Achievers,High Risk,0.9979,Pass (1-2)
S10125,1.0,25.0,50.0,Medium (50-75%),10.0,3.0,3.0,1.0,Fail,Struggling Students,High Risk,1.0,Failing (0-1)
S10126,2.3333333333333335,58.33,66.67,Medium (50-75%),18.0,5.0,5.0,0.8333333333333334,Pass,Average Performers,Low Risk,0.0,Good (2-3)
S10127,3.2,80.0,33.33,Low (<50%),25.0,8.0,8.0,1.0,Distinction,Average Performers,High Risk,1.0,Excellent (3-4)
S10128,1.0,25.0,100.0,High (>75%),15.0,5.0,5.0,0.75,Fail,At-Risk Students,High Risk,1.0,Failing (0-1)
S10129,2.0,50.0,0.0,Low (<50%),17.0,5.0,5.0,0.8571428571428571,Pass,Struggling Students,High Risk,1.0,Pass (1-2)
S10130,2.5,62.5,100.0,High (>75%),21.0,6.0,6.0,0.75,Pass,Average Performers,Low Risk,0.0,Good (2-3)
S10131,2.0,50.0,100.0,High (>75%),8.0,3.0,3.0,1.0,Pass,High Achievers,Low Risk,0.0,Pass (1-2)
S10132,2.0,50.0,60.0,Medium (50-75%),13.0,4.0,4.0,0.5,Pass,At-Risk Students,Low Risk,0.0,Pass (1-2)
S10133,1.0,25.0,50.0,Medium (50-75%),14.0,4.0,4.0,0.5,Fail,At-Risk Students,High Risk,1.0,Failing (0-1)
S10134,2.4,60.0,0.0,Low (<50%),12.0,4.0,4.0,0.8,Pass,Struggling Students,High Risk,1.0,Good (2-3)
S10135,4.0,100.0,50.0,Medium (50-75%),16.0,5.0,5.0,1.0,Distinction,High Achievers,Low Risk,0.0009,Excellent (3-4)
S10136,2.3333333333333335,58.33,100.0,High (>75%),17.0,5.0,5.0,1.0,Pass,High Achievers,Low Risk,0.0,Good (2-3)
S10137,1.6666666666666667,41.67,50.0,Medium (50-75%),31.0,8.0,8.0,0.6666666666666666,Pass,Average Performers,Low Risk,0.0002,Pass (1-2)
S10138,3.0,75.0,75.0,High (>75%),9.0,2.0,2.0,1.0,Distinction,High Achievers,Low Risk,0.0,Good (2-3)
S10139,1.75,43.75,50.0,Medium (50-75%),10.0,3.0,3.0,0.75,Pass,Struggling Students,Low Risk,0.0001,Pass (1-2)
S10140,2.4,60.0,66.67,Medium (50-75%),22.0,5.0,5.0,0.8,Pass,Average Performers,Low Risk,0.0,Good (2-3)
S10141,2.3333333333333335,58.33,66.67,Medium (50-75%),16.0,4.0,4.0,1.0,Pass,High Achievers,Low Risk,0.0,Good (2-3)
S10142,1.5,37.5,100.0,High (>75%),29.0,8.0,8.0,0.75,Fail,Average Performers,Low Risk,0.0126,Pass (1-2)
S10143,2.0,50.0,66.67,,6.0,2.0,2.0,0.5,Pass,At-Risk Students,Low Risk,0.0,Pass (1-2)
S10144,1.0,25.0,33.33,Low (<50%),4.0,1.0,1.0,0.5,Fail,At-Risk Students,High Risk,1.0,Failing (0-1)
S10145,2.0,50.0,100.0,High (>75%),10.0,3.0,3.0,1.0,Pass,High Achievers,Low Risk,0.0,Pass (1-2)
S10146,3.0,75.0,50.0,Medium (50-75%),7.0,2.0,2.0,1.0,Distinction,High Achievers,Low Risk,0.0001,Good (2-3)
S10147,3.6666666666666665,91.67,100.0,High (>75%),8.0,3.0,3.0,1.0,Distinction,High Achievers,Low Risk,0.0,Excellent (3-4)
S10148,0.3333333333333333,8.33,100.0,High (>75%),18.0,5.0,5.0,0.3333333333333333,Fail,At-Risk Students,High Risk,1.0,Failing (0-1)
S10149,2.3333333333333335,58.33,100.0,High (>75%),13.0,4.0,4.0,0.6666666666666666,Pass,High Achievers,Low Risk,0.0,Good (2-3)
S10150,3.0,75.0,42.86,Low (<50%),7.0,2.0,2.0,1.0,Distinction,High Achievers,High Risk,1.0,Good (2-3)
S10151,2.6666666666666665,66.67,100.0,High (>75%),16.0,5.0,5.0,0.8333333333333334,Pass,High Achievers,Low Risk,0.0,Good (2-3)
S10152,2.3333333333333335,58.33,50.0,Medium (50-75%),6.0,2.0,2.0,0.7777777777777778,Pass,Struggling Students,Low Risk,0.0,Good (2-3)
S10153,2.0,50.0,100.0,High (>75%),3.0,1.0,1.0,0.6666666666666666,Pass,High Achievers,Low Risk,0.0,Pass (1-2)
S10154,2.75,68.75,66.67,Medium (50-75%),8.0,2.0,2.0,1.0,Pass,High Achievers,Low Risk,0.0,Good (2-3)
S10155,1.8,45.0,100.0,High (>75%),11.0,3.0,3.0,0.6,Pass,At-Risk Students,Low Risk,0.0,Pass (1-2)
S10156,2.0,50.0,100.0,High (>75%),10.0,3.0,3.0,0.8,Pass,High Achievers,Low Risk,0.0,Pass (1-2)
S10157,2.142857142857143,53.57,100.0,High (>75%),27.0,7.0,7.0,0.7142857142857143,Pass,Average Performers,Low Risk,0.0,Good (2-3)
S10158,1.3333333333333333,33.33,60.0,Medium (50-75%),7.0,2.0,2.0,0.6666666666666666,Fail,At-Risk Students,High Risk,1.0,Pass (1-2)
S10159,2.3333333333333335,58.33,66.67,,16.0,4.0,4.0,0.8888888888888888,Pass,Average Performers,Low Risk,0.0,Good (2-3)
S10160,2.0,50.0,100.0,High (>75%),18.0,7.0,7.0,1.0,Pass,Average Performers,Low Risk,0.0,Pass (1-2)
S10161,1.8,45.0,33.33,Low (<50%),10.0,3.0,3.0,0.6,Pass,Struggling Students,High Risk,1.0,Pass (1-2)
S10162,1.2,30.0,100.0,High (>75%),7.0,2.0,2.0,0.8,Fail,High Achievers,High Risk,1.0,Pass (1-2)
S10163,3.0,75.0,50.0,Medium (50-75%),5.0,1.0,1.0,1.0,Distinction,High Achievers,Low Risk,0.0001,Good (2-3)
S10164,1.75,43.75,66.67,Medium (50-75%),22.0,8.0,8.0,1.0,Pass,Average Performers,Low Risk,0.0,Pass (1-2)
S10165,1.5,37.5,100.0,High (>75%),12.0,3.0,3.0,0.75,Fail,High Achievers,Low Risk,0.0094,Pass (1-2)
S10166,0.8333333333333334,20.83,66.67,Medium (50-75%),16.0,5.0,5.0,0.5,Fail,At-Risk Students,High Risk,1.0,Failing (0-1)
S10167,4.0,100.0,75.0,High (>75%),6.0,2.0,2.0,1.0,Distinction,High Achievers,Low Risk,0.0,Excellent (3-4)
S10168,2.0,50.0,66.67,Medium (50-75%),3.0,1.0,1.0,0.8,Pass,High Achievers,Low Risk,0.0,Pass (1-2)
S10169,2.5,62.5,66.67,Medium (50-75%),5.0,2.0,2.0,1.0,Pass,High Achievers,Low Risk,0.0,Good (2-3)
S10170,4.0,100.0,100.0,High (>75%),8.0,3.0,3.0,1.0,Distinction,High Achievers,Low Risk,0.0,Excellent (3-4)
S10171,1.6666666666666667,41.67,80.0,High (>75%),18.0,5.0,5.0,1.0,Pass,Average Performers,Low Risk,0.0,Pass (1-2)
S10172,2.0,50.0,66.67,,13.0,4.0,4.0,0.5,Pass,At-Risk Students,Low Risk,0.0,Pass (1-2)
S10173,0.0,0.0,100.0,High (>75%),25.0,7.0,7.0,0.0,Fail,At-Risk Students,High Risk,1.0,
S10174,2.2,55.0,66.67,Medium (50-75%),6.0,3.0,3.0,0.8,Pass,High Achievers,Low Risk,0.0,Good (2-3)
S10175,1.75,43.75,100.0,High (>75%),10.0,3.0,3.0,0.75,Pass,High Achievers,Low Risk,0.0,Pass (1-2)
S10176,2.5,62.5,66.67,Medium (50-75%),21.0,7.0,7.0,0.75,Pass,Average Performers,Low Risk,0.0,Good (2-3)
S10177,2.0,50.0,50.0,Medium (50-75%),16.0,4.0,4.0,1.0,Pass,Struggling Students,Low Risk,0.0001,Pass (1-2)
S10178,1.0,25.0,100.0,High (>75%),10.0,3.0,3.0,0.6666666666666666,Fail,At-Risk Students,High Risk,1.0,Failing (0-1)
S10179,3.3333333333333335,83.33,66.67,Medium (50-75%),5.0,1.0,1.0,1.0,Distinction,High Achievers,Low Risk,0.0,Excellent (3-4)
S10180,1.0,25.0,50.0,Medium (50-75%),7.0,2.0,2.0,1.0,Fail,Struggling Students,High Risk,1.0,Failing (0-1)
S10181,2.25,56.25,100.0,High (>75%),10.0,3.0,3.0,1.0,Pass,High Achievers,Low Risk,0.0,Good (2-3)
S10182,2.0,50.0,50.0,Medium (50-75%),24.0,5.0,5.0,1.0,Pass,Average Performers,Low Risk,0.0001,Pass (1-2)
S10183,1.5,37.5,33.33,Low (<50%),26.0,6.0,6.0,1.0,Fail,Average Performers,High Risk,1.0,Pass (1-2)
S10184,2.0,50.0,60.0,Medium (50-75%),10.0,3.0,3.0,1.0,Pass,High Achievers,Low Risk,0.0,Pass (1-2)
S10185,2.5,62.5,0.0,Low (<50%),12.0,4.0,4.0,1.0,Pass,Struggling Students,High Risk,1.0,Good (2-3)
S10186,1.3333333333333333,33.33,66.67,,7.0,3.0,3.0,0.6666666666666666,Fail,At-Risk Students,High Risk,1.0,Pass (1-2)
S10187,1.6,40.0,40.0,Low (<50%),20.0,6.0,6.0,0.6,Pass,Struggling Students,High Risk,1.0,Pass (1-2)
S10188,2.3333333333333335,58.33,0.0,Low (<50%),10.0,3.0,3.0,1.0,Pass,Struggling Students,High Risk,1.0,Good (2-3)
S10189,2.6666666666666665,66.67,50.0,Medium (50-75%),14.0,4.0,4.0,1.0,Pass,High Achievers,Low Risk,0.0,Good (2-3)
S10190,1.0,25.0,75.0,High (>75%),10.0,2.0,2.0,0.3333333333333333,Fail,At-Risk Students,High Risk,1.0,Failing (0-1)
S10191,3.0,75.0,66.67,Medium (50-75%),14.0,4.0,4.0,1.0,Distinction,High Achievers,Low Risk,0.0,Good (2-3)
S10192,1.8,45.0,50.0,Medium (50-75%),5.0,1.0,1.0,0.8,Pass,Struggling Students,Low Risk,0.0001,Pass (1-2)
S10193,2.2,55.0,37.5,Low (<50%),4.0,2.0,2.0,0.8,Pass,Struggling Students,High Risk,1.0,Good (2-3)
S10194,2.0,50.0,100.0,High (>75%),17.0,5.0,5.0,0.75,Pass,Average Performers,Low Risk,0.0,Pass (1-2)
