student_id,Attendance_Pct,Attendance_Level,Overall_GPA,Academic_Result,Dropout_Risk,Att_Bucket
S10236,100.0,High (>75%),2.2,Pass,Low Risk,75-100%
S10237,50.0,Medium (50-75%),2.3333333333333335,Pass,Low Risk,25-50%
S10238,75.0,High (>75%),2.0,Pass,Low Risk,50-75%
S10239,85.71,High (>75%),1.6666666666666667,Pass,Low Risk,75-100%
S10240,40.0,Low (<50%),3.0,Distinction,High Risk,25-50%
S10241,0.0,Low (<50%),2.8333333333333335,Pass,High Risk,
S10242,100.0,High (>75%),2.1666666666666665,Pass,Low Risk,75-100%
S10243,100.0,High (>75%),2.6666666666666665,Pass,Low Risk,75-100%
S10244,50.0,Medium (50-75%),0.6666666666666666,Fail,High Risk,25-50%
S10245,40.0,Low (<50%),1.8,Pass,High Risk,25-50%
S10246,66.67,Medium (50-75%),1.4,Fail,High Risk,50-75%
S10247,50.0,Medium (50-75%),2.0,Pass,Low Risk,25-50%
S10248,100.0,High (>75%),1.5,Fail,Low Risk,75-100%
S10249,100.0,High (>75%),3.5,Distinction,Low Risk,75-100%
S10250,50.0,Medium (50-75%),2.3333333333333335,Pass,Low Risk,25-50%
S10251,75.0,High (>75%),3.0,Distinction,Low Risk,50-75%
S10253,100.0,High (>75%),0.0,Fail,High Risk,75-100%
S10254,60.0,Medium (50-75%),1.8333333333333333,Pass,Low Risk,50-75%
S10255,50.0,Medium (50-75%),1.6666666666666667,Pass,Low Risk,25-50%
S10256,40.0,Low (<50%),3.2,Distinction,High Risk,25-50%
S10257,50.0,Medium (50-75%),1.6666666666666667,Pass,Low Risk,25-50%
S10258,75.0,High (>75%),2.0,Pass,Low Risk,50-75%
S10259,25.0,Low (<50%),2.0,Pass,High Risk,0-25%
S10260,100.0,High (>75%),2.0,Pass,Low Risk,75-100%
S10261,0.0,Low (<50%),2.5,Pass,High Risk,
S10262,100.0,High (>75%),2.0,Pass,Low Risk,75-100%
S10263,50.0,Medium (50-75%),2.6,Pass,Low Risk,25-50%
S10264,100.0,High (>75%),2.3333333333333335,Pass,Low Risk,75-100%
S10265,100.0,High (>75%),1.6666666666666667,Pass,Low Risk,75-100%
S10266,100.0,High (>75%),0.0,Fail,High Risk,75-100%
S10267,42.86,Low (<50%),2.25,Pass,High Risk,25-50%
S10268,71.43,Medium (50-75%),2.0,Pass,Low Risk,50-75%
S10269,66.67,Medium (50-75%),1.8,Pass,Low Risk,50-75%
S10271,50.0,Medium (50-75%),2.8,Pass,Low Risk,25-50%
S10272,0.0,Low (<50%),1.3333333333333333,Fail,High Risk,
S10274,75.0,High (>75%),1.0,Fail,High Risk,50-75%
S10275,50.0,Medium (50-75%),3.0,Distinction,Low Risk,25-50%
S10276,25.0,Low (<50%),2.6666666666666665,Pass,High Risk,0-25%
S10277,100.0,High (>75%),3.0,Distinction,Low Risk,75-100%
S10278,100.0,High (>75%),0.6666666666666666,Fail,High Risk,75-100%
S10279,50.0,Medium (50-75%),2.6666666666666665,Pass,Low Risk,25-50%
S10280,50.0,Medium (50-75%),1.3333333333333333,Fail,High Risk,25-50%
S10281,100.0,High (>75%),0.6666666666666666,Fail,High Risk,75-100%
S10282,80.0,High (>75%),0.0,Fail,High Risk,75-100%
S10283,100.0,High (>75%),2.3333333333333335,Pass,Low Risk,75-100%
S10284,50.0,Medium (50-75%),1.0,Fail,High Risk,25-50%
S10285,0.0,Low (<50%),1.3333333333333333,Fail,High Risk,
S10286,66.67,Medium (50-75%),2.6666666666666665,Pass,Low Risk,50-75%
S10287,100.0,High (>75%),2.0,Pass,Low Risk,75-100%
S10288,60.0,Medium (50-75%),2.125,Pass,Low Risk,50-75%
S10289,50.0,Medium (50-75%),0.3333333333333333,Fail,High Risk,25-50%
S10290,100.0,High (>75%),1.0,Fail,High Risk,75-100%
S10291,100.0,High (>75%),1.75,Pass,Low Risk,75-100%
S10292,100.0,High (>75%),1.6666666666666667,Pass,Low Risk,75-100%
S10293,80.0,High (>75%),0.5,Fail,High Risk,75-100%
S10295,66.67,Medium (50-75%),2.5,Pass,Low Risk,50-75%
S10296,60.0,Medium (50-75%),1.5,Fail,Low Risk,50-75%
S10297,16.67,Low (<50%),2.6666666666666665,Pass,High Risk,0-25%
S10298,60.0,Medium (50-75%),3.0,Distinction,Low Risk,50-75%
S10299,20.0,Low (<50%),2.3333333333333335,Pass,High Risk,0-25%
S10300,50.0,Medium (50-75%),2.0,Pass,Low Risk,25-50%
S10301,100.0,High (>75%),2.5,Pass,Low Risk,75-100%
S10302,66.67,Medium (50-75%),0.3333333333333333,Fail,High Risk,50-75%
S10303,100.0,High (>75%),1.6666666666666667,Pass,Low Risk,75-100%
S10304,80.0,High (>75%),1.6666666666666667,Pass,Low Risk,75-100%
S10305,66.67,Medium (50-75%),1.5,Fail,Low Risk,50-75%
S10306,100.0,High (>75%),2.8333333333333335,Pass,Low Risk,75-100%
S10307,60.0,Medium (50-75%),2.3,Pass,Low Risk,50-75%
S10308,50.0,Medium (50-75%),2.2,Pass,Low Risk,25-50%
S10309,60.0,Medium (50-75%),2.6666666666666665,Pass,Low Risk,50-75%
S10311,60.0,Medium (50-75%),3.3333333333333335,Distinction,Low Risk,50-75%
S10312,66.67,Medium (50-75%),1.8,Pass,Low Risk,50-75%
S10313,33.33,Low (<50%),1.6666666666666667,Pass,High Risk,25-50%
S10314,50.0,Medium (50-75%),1.6666666666666667,Pass,Low Risk,25-50%
S10315,100.0,High (>75%),2.3333333333333335,Pass,Low Risk,75-100%
S10316,100.0,High (>75%),2.0,Pass,Low Risk,75-100%
S10317,50.0,Medium (50-75%),3.0,Distinction,Low Risk,25-50%
S10318,50.0,Medium (50-75%),2.0,Pass,Low Risk,25-50%
S10319,75.0,High (>75%),1.25,Fail,High Risk,50-75%
S10320,50.0,Medium (50-75%),0.5,Fail,High Risk,25-50%
S10322,75.0,High (>75%),0.0,Fail,High Risk,50-75%
S10323,0.0,Low (<50%),2.3333333333333335,Pass,High Risk,
S10324,60.0,Medium (50-75%),0.0,Fail,High Risk,50-75%
S10325,60.0,Medium (50-75%),2.3333333333333335,Pass,Low Risk,50-75%
S10326,80.0,High (>75%),3.0,Distinction,Low Risk,75-100%
S10327,50.0,Medium (50-75%),2.0,Pass,Low Risk,25-50%
S10328,50.0,Medium (50-75%),2.6666666666666665,Pass,Low Risk,25-50%
S10329,50.0,Medium (50-75%),3.0,Distinction,Low Risk,25-50%
S10330,100.0,High (>75%),1.0,Fail,High Risk,75-100%
S10331,33.33,Low (<50%),2.3333333333333335,Pass,High Risk,25-50%
S10332,33.33,Low (<50%),2.2857142857142856,Pass,High Risk,25-50%
S10333,100.0,High (>75%),0.0,Fail,High Risk,75-100%
S10334,100.0,High (>75%),4.0,Distinction,Low Risk,75-100%
S10335,33.33,Low (<50%),2.0,Pass,High Risk,25-50%
S10336,33.33,Low (<50%),2.0,Pass,High Risk,25-50%
S10337,0.0,Low (<50%),2.0,Pass,High Risk,
S10338,100.0,High (>75%),4.0,Distinction,Low Risk,75-100%
S10339,0.0,Low (<50%),3.0,Distinction,High Risk,
S10340,75.0,High (>75%),1.0,Fail,High Risk,50-75%
S10341,66.67,Medium (50-75%),0.5,Fail,High Risk,50-75%
S10342,66.67,Medium (50-75%),1.75,Pass,Low Risk,50-75%
S10343,50.0,Medium (50-75%),2.0,Pass,Low Risk,25-50%
S10344,50.0,Medium (50-75%),2.1666666666666665,Pass,Low Risk,25-50%
S10345,100.0,High (>75%),2.5,Pass,Low Risk,75-100%
S10346,40.0,Low (<50%),1.8,Pass,High Risk,25-50%
S10347,100.0,High (>75%),3.0,Distinction,Low Risk,75-100%
S10348,50.0,Medium (50-75%),1.0,Fail,High Risk,25-50%
S10349,66.67,Medium (50-75%),1.0,Fail,High Risk,50-75%
S10350,75.0,High (>75%),1.8333333333333333,Pass,Low Risk,50-75%
S10351,66.67,Medium (50-75%),0.6666666666666666,Fail,High Risk,50-75%
S10352,100.0,High (>75%),3.0,Distinction,Low Risk,75-100%
S10353,100.0,High (>75%),0.3333333333333333,Fail,High Risk,75-100%
S10354,60.0,Medium (50-75%),2.25,Pass,Low Risk,50-75%
S10355,75.0,High (>75%),2.3333333333333335,Pass,Low Risk,50-75%
S10357,66.67,Medium (50-75%),2.2,Pass,Low Risk,50-75%
S10358,100.0,High (>75%),1.4,Fail,High Risk,75-100%
S10359,100.0,High (>75%),2.5,Pass,Low Risk,75-100%
S10361,83.33,High (>75%),3.0,Distinction,Low Risk,75-100%
S10362,25.0,Low (<50%),2.6666666666666665,Pass,High Risk,0-25%
S10363,66.67,Medium (50-75%),2.25,Pass,Low Risk,50-75%
S10364,60.0,Medium (50-75%),2.0,Pass,Low Risk,50-75%
S10365,66.67,Medium (50-75%),2.5,Pass,Low Risk,50-75%
S10366,100.0,High (>75%),3.0,Distinction,Low Risk,75-100%
S10367,50.0,Medium (50-75%),1.0,Fail,High Risk,25-50%
S10368,100.0,High (>75%),0.0,Fail,High Risk,75-100%
S10369,40.0,Low (<50%),2.5,Pass,High Risk,25-50%
S10370,100.0,High (>75%),3.0,Distinction,Low Risk,75-100%
S10371,100.0,High (>75%),1.6,Pass,Low Risk,75-100%
S10372,100.0,High (>75%),2.0,Pass,Low Risk,75-100%
S10373,100.0,High (>75%),3.0,Distinction,Low Risk,75-100%
S10374,50.0,Medium (50-75%),2.0,Pass,Low Risk,25-50%
S10375,75.0,High (>75%),1.8,Pass,Low Risk,50-75%
S10376,50.0,Medium (50-75%),2.0,Pass,Low Risk,25-50%
S10377,75.0,High (>75%),2.6666666666666665,Pass,Low Risk,50-75%
S10378,100.0,High (>75%),2.0,Pass,Low Risk,75-100%
S10379,33.33,Low (<50%),2.25,Pass,High Risk,25-50%
S10380,50.0,Medium (50-75%),1.0,Fail,High Risk,25-50%
S10381,80.0,High (>75%),3.5,Distinction,Low Risk,75-100%
S10382,60.0,Medium (50-75%),1.75,Pass,Low Risk,50-75%
S10384,50.0,Medium (50-75%),0.0,Fail,High Risk,25-50%
S10385,66.67,Medium (50-75%),1.3333333333333333,Fail,High Risk,50-75%
S10386,71.43,Medium (50-75%),2.0,Pass,Low Risk,50-75%
S10387,80.0,High (>75%),2.5,Pass,Low Risk,75-100%
S10388,0.0,Low (<50%),3.3333333333333335,Distinction,High Risk,
S10389,50.0,Medium (50-75%),2.0,Pass,Low Risk,25-50%
S10390,100.0,High (>75%),2.0,Pass,Low Risk,75-100%
S10391,40.0,Low (<50%),1.75,Pass,High Risk,25-50%
S10392,100.0,High (>75%),2.25,Pass,Low Risk,75-100%
S10393,50.0,Medium (50-75%),2.0,Pass,Low Risk,25-50%
S10394,50.0,Medium (50-75%),2.0,Pass,Low Risk,25-50%
S10395,50.0,Medium (50-75%),3.3333333333333335,Distinction,Low Risk,25-50%
S10396,100.0,High (>75%),3.0,Distinction,Low Risk,75-100%
S10397,50.0,Medium (50-75%),0.5,Fail,High Risk,25-50%
S10398,100.0,High (>75%),1.75,Pass,Low Risk,75-100%
S10400,50.0,Medium (50-75%),2.5,Pass,Low Risk,25-50%
S10401,100.0,High (>75%),1.0,Fail,High Risk,75-100%
S10402,100.0,High (>75%),1.8,Pass,Low Risk,75-100%
S10403,100.0,High (>75%),2.5555555555555554,Pass,Low Risk,75-100%
S10404,0.0,Low (<50%),2.0,Pass,High Risk,
S10405,100.0,High (>75%),1.8,Pass,Low Risk,75-100%
S10406,100.0,High (>75%),2.3333333333333335,Pass,Low Risk,75-100%
S10407,60.0,Medium (50-75%),1.0,Fail,High Risk,50-75%
S10408,50.0,Medium (50-75%),3.0,Distinction,Low Risk,25-50%
S10409,50.0,Medium (50-75%),3.0,Distinction,Low Risk,25-50%
S10410,100.0,High (>75%),2.3333333333333335,Pass,Low Risk,75-100%
S10411,66.67,Medium (50-75%),1.8333333333333333,Pass,Low Risk,50-75%
S10412,100.0,High (>75%),1.0,Fail,High Risk,75-100%
