course_id,Avg_GPA,Pass_Rate_Pct,Enrollment,Avg_Credits,Difficulty_Score,Difficulty_Level
C154,1.891,79.07,129,2.0,0.419,Medium
C155,2.198,83.21,131,4.0,0.672,Medium
C156,2.129,81.82,131,5.0,0.909,Hard
C157,2.222,85.86,99,3.0,0.424,Medium
C158,1.777,75.21,121,3.0,0.744,Medium
C159,2.174,80.0,115,2.0,0.4,Easy
C16,2.21,84.76,105,2.0,0.305,Easy
C160,1.967,77.5,117,4.0,0.9,Hard
C161,2.0,79.28,110,4.0,0.829,Hard
C162,1.992,80.0,123,4.0,0.8,Medium
C163,1.874,83.46,125,5.0,0.827,Hard
C164,2.018,75.44,112,2.0,0.491,Medium
C165,2.051,79.71,138,4.0,0.812,Hard
C166,2.027,81.25,112,5.0,0.938,Hard
C167,1.895,78.1,104,4.0,0.876,Hard
C168,1.974,85.96,114,3.0,0.421,Medium
C169,1.945,78.18,109,3.0,0.655,Medium
C17,2.092,83.67,98,5.0,0.816,Hard
C170,2.051,84.75,114,4.0,0.61,Medium
C171,1.824,70.37,107,2.0,0.593,Medium
C172,2.026,80.87,115,2.0,0.383,Easy
C173,1.992,83.74,122,4.0,0.65,Medium
C174,1.885,76.98,138,5.0,1.151,Hard
C175,2.239,83.19,112,5.0,0.841,Hard
C176,1.855,76.61,124,4.0,0.936,Hard
C177,1.774,76.52,115,3.0,0.704,Medium
C178,2.065,82.41,108,2.0,0.352,Easy
C179,1.961,82.17,129,3.0,0.535,Medium
C18,1.96,83.84,98,2.0,0.323,Easy
C180,2.035,78.26,114,2.0,0.435,Medium
C181,2.032,78.23,124,4.0,0.871,Hard
C182,1.992,82.95,128,2.0,0.341,Easy
C183,2.132,84.21,114,4.0,0.632,Medium
C184,2.0,75.63,119,4.0,0.975,Hard
C185,1.942,80.99,120,3.0,0.57,Medium
C186,2.084,80.37,107,5.0,0.981,Hard
C187,1.933,81.67,119,5.0,0.917,Hard
C188,1.936,80.85,94,5.0,0.958,Hard
C189,2.016,79.84,124,5.0,1.008,Hard
C19,1.867,71.67,117,4.0,1.133,Hard
C190,2.219,82.81,126,2.0,0.344,Easy
C191,1.963,77.57,106,3.0,0.673,Medium
C192,1.973,74.34,113,2.0,0.513,Medium
C193,2.073,75.61,122,4.0,0.976,Hard
C194,2.016,86.07,121,2.0,0.279,Easy
C195,2.141,88.89,135,2.0,0.222,Easy
C196,1.724,74.02,126,2.0,0.52,Medium
C197,2.087,86.23,137,5.0,0.688,Medium
C198,1.981,76.92,103,3.0,0.692,Medium
C199,1.971,77.45,101,2.0,0.451,Medium
C2,1.906,77.7,138,5.0,1.115,Hard
C20,2.138,81.9,116,2.0,0.362,Easy
C200,1.992,83.2,124,4.0,0.672,Medium
C201,1.99,76.7,101,3.0,0.699,Medium
C202,2.27,87.3,124,2.0,0.254,Easy
C203,1.96,77.42,124,4.0,0.903,Hard
C204,2.16,81.6,125,2.0,0.368,Easy
C205,2.042,80.83,118,2.0,0.383,Easy
C206,2.119,78.57,126,4.0,0.857,Hard
C207,2.057,83.81,105,3.0,0.486,Medium
C208,2.207,87.93,116,5.0,0.603,Medium
C209,2.062,77.32,97,5.0,1.134,Hard
C21,2.086,83.59,126,3.0,0.492,Medium
C210,1.84,77.36,106,5.0,1.132,Hard
C211,1.903,80.53,113,3.0,0.584,Medium
C212,2.107,80.36,112,2.0,0.393,Easy
C213,2.076,83.9,118,2.0,0.322,Easy
C214,2.337,84.62,104,5.0,0.769,Medium
C215,1.75,71.15,104,2.0,0.577,Medium
C216,1.525,67.5,119,5.0,1.625,Very Hard
C217,2.063,78.57,125,2.0,0.429,Medium
C218,1.952,80.16,126,2.0,0.397,Easy
C219,2.065,80.56,106,5.0,0.972,Hard
C22,2.008,82.26,122,3.0,0.532,Medium
C220,2.103,82.54,126,4.0,0.698,Medium
C221,1.963,77.94,135,5.0,1.103,Hard
C222,1.732,78.35,96,4.0,0.866,Hard
C223,2.065,81.45,124,3.0,0.556,Medium
C224,1.94,76.92,117,4.0,0.923,Hard
C225,2.0,81.97,120,5.0,0.902,Hard
C226,2.035,82.3,113,2.0,0.354,Easy
C227,1.98,79.8,99,5.0,1.01,Hard
C228,1.952,80.0,104,2.0,0.4,Easy
C229,2.084,76.64,106,3.0,0.701,Medium
C23,2.179,79.46,111,2.0,0.411,Medium
C230,2.157,81.48,107,5.0,0.926,Hard
C231,1.975,78.15,118,3.0,0.655,Medium
C232,1.964,83.33,136,3.0,0.5,Medium
C233,2.226,83.87,123,2.0,0.323,Easy
C234,1.991,81.48,108,4.0,0.741,Medium
C235,2.05,83.19,119,4.0,0.672,Medium
C236,1.764,75.45,110,3.0,0.736,Medium
C237,2.009,80.73,108,3.0,0.578,Medium
C238,2.121,82.26,122,2.0,0.355,Easy
C239,2.133,81.67,120,5.0,0.917,Hard
C24,1.984,77.05,120,2.0,0.459,Medium
C240,1.929,77.86,140,2.0,0.443,Medium
C241,2.255,82.73,109,2.0,0.345,Easy
C242,2.174,85.12,120,3.0,0.446,Medium
C243,2.207,84.44,135,3.0,0.467,Medium
C244,2.232,83.16,95,2.0,0.337,Easy
C245,2.102,76.38,127,3.0,0.709,Medium
C246,1.991,80.0,110,5.0,1.0,Hard
C247,2.044,81.75,137,4.0,0.73,Medium
C248,2.072,82.88,111,4.0,0.685,Medium
C249,2.261,84.03,119,2.0,0.319,Easy
C25,1.983,81.03,115,5.0,0.948,Hard
C250,2.045,79.28,111,4.0,0.829,Hard
C251,2.25,88.28,128,3.0,0.352,Easy
C252,2.169,79.84,124,3.0,0.605,Medium
C253,2.15,82.3,112,4.0,0.708,Medium
C254,2.116,84.3,120,2.0,0.314,Easy
C255,2.046,82.57,108,2.0,0.349,Easy
C256,1.915,78.72,140,4.0,0.851,Hard
C257,1.805,74.58,115,3.0,0.763,Medium
C258,1.902,71.31,121,2.0,0.574,Medium
C259,1.974,84.62,117,5.0,0.769,Medium
C26,2.027,80.0,109,2.0,0.4,Easy
C260,2.092,82.57,108,5.0,0.872,Hard
C261,1.786,75.21,116,5.0,1.24,Very Hard
C262,2.067,77.78,135,2.0,0.444,Medium
C263,1.841,80.53,110,2.0,0.389,Easy
C264,1.893,76.03,121,4.0,0.959,Hard
C265,2.047,77.34,126,2.0,0.453,Medium
C266,2.139,83.61,122,4.0,0.656,Medium
C267,1.945,79.82,109,4.0,0.807,Hard
C268,2.149,82.18,101,3.0,0.535,Medium
C269,2.043,83.76,115,2.0,0.325,Easy
C27,2.0,76.58,111,4.0,0.937,Hard
C270,2.034,82.91,117,2.0,0.342,Easy
C271,2.032,80.8,125,5.0,0.96,Hard
C272,2.056,83.87,123,5.0,0.806,Hard
C273,2.113,83.48,115,3.0,0.496,Medium
C274,2.0,81.37,102,3.0,0.559,Medium
C275,1.932,78.63,115,3.0,0.641,Medium
C276,1.864,80.51,118,3.0,0.585,Medium
C277,1.969,80.31,126,3.0,0.591,Medium
C278,1.976,77.78,125,3.0,0.667,Medium
C279,2.107,80.36,112,4.0,0.786,Medium
C28,2.036,78.57,109,2.0,0.429,Medium
C280,2.112,83.62,116,2.0,0.328,Easy
C281,2.058,83.33,118,2.0,0.333,Easy
C282,1.961,82.35,101,4.0,0.706,Medium
C283,2.129,83.06,123,3.0,0.508,Medium
C284,1.733,80.17,114,3.0,0.595,Medium
C285,1.796,76.11,113,3.0,0.717,Medium
C286,2.081,84.68,109,3.0,0.46,Medium
C287,2.096,78.85,103,2.0,0.423,Medium
C288,2.0,80.0,115,4.0,0.8,Medium
C289,1.938,79.69,127,5.0,1.016,Hard
C29,1.833,76.32,113,3.0,0.71,Medium
C290,2.133,80.0,119,3.0,0.6,Medium
C291,1.952,79.81,104,2.0,0.404,Medium
C292,1.981,78.1,103,2.0,0.438,Medium
C293,2.008,80.47,127,2.0,0.391,Easy
C294,1.783,75.0,120,2.0,0.5,Medium
C295,2.034,83.05,118,2.0,0.339,Easy
C296,1.862,72.36,122,3.0,0.829,Hard
C297,2.185,85.48,123,4.0,0.581,Medium
C298,2.195,83.74,121,4.0,0.65,Medium
C299,1.957,82.05,117,3.0,0.538,Medium
C3,2.214,81.25,112,5.0,0.938,Hard
C30,1.925,80.0,118,4.0,0.8,Medium
C300,1.85,80.0,120,3.0,0.6,Medium
C31,2.114,82.11,123,4.0,0.716,Medium
C32,1.957,81.2,117,5.0,0.94,Hard
C33,2.05,79.83,118,5.0,1.008,Hard
C34,2.246,90.35,113,2.0,0.193,Easy
C35,2.008,78.23,124,4.0,0.871,Hard
C36,2.175,84.92,126,3.0,0.452,Medium
C37,1.917,76.03,121,5.0,1.199,Hard
C38,1.918,74.55,109,5.0,1.273,Very Hard
C39,2.22,84.4,109,4.0,0.624,Medium
C4,2.207,80.17,115,4.0,0.793,Medium
C40,1.94,77.61,133,2.0,0.448,Medium
C41,2.224,88.0,124,3.0,0.36,Easy
C42,1.766,70.09,107,3.0,0.897,Hard
C43,2.016,82.95,129,5.0,0.852,Hard
C44,1.863,74.36,116,4.0,1.026,Hard
C45,2.079,82.18,101,3.0,0.535,Medium
C46,2.0,77.14,104,3.0,0.686,Medium
C47,1.991,78.63,117,2.0,0.427,Medium
C48,1.853,71.56,109,3.0,0.853,Hard
C49,2.098,81.25,112,5.0,0.938,Hard
C5,1.779,75.0,104,5.0,1.25,Very Hard
C50,2.185,81.48,107,4.0,0.741,Medium
C51,2.122,81.63,97,2.0,0.367,Easy
C52,1.964,82.73,109,5.0,0.863,Hard
C53,2.193,84.03,118,3.0,0.479,Medium
C54,1.982,76.32,114,2.0,0.474,Medium
C55,2.043,83.62,115,3.0,0.491,Medium
C56,1.904,74.07,135,5.0,1.297,Very Hard
C57,1.89,83.05,117,5.0,0.847,Hard
C58,1.824,78.15,119,5.0,1.092,Hard
C59,1.719,71.22,137,5.0,1.439,Very Hard
C6,2.093,82.24,107,3.0,0.533,Medium
C60,2.008,80.0,120,2.0,0.4,Easy
C61,2.06,83.62,116,5.0,0.819,Hard
C62,1.991,76.52,115,5.0,1.174,Hard
C63,1.945,75.59,127,5.0,1.22,Very Hard
C64,2.093,82.41,108,5.0,0.88,Hard
C65,1.845,78.18,109,2.0,0.436,Medium
C66,1.944,78.57,125,2.0,0.429,Medium
C67,2.129,77.23,99,3.0,0.683,Medium
C68,2.039,82.17,129,4.0,0.713,Medium
C69,1.992,78.69,122,5.0,1.066,Hard
C7,1.922,78.43,101,2.0,0.431,Medium
C70,2.093,83.18,106,3.0,0.505,Medium
C71,2.032,77.42,123,4.0,0.903,Hard
C72,2.098,87.12,132,3.0,0.386,Easy
C73,2.148,83.61,121,2.0,0.328,Easy
C74,1.733,73.28,116,3.0,0.802,Hard
C75,1.967,79.67,122,3.0,0.61,Medium
C76,2.164,81.03,115,3.0,0.569,Medium
C77,2.179,81.13,105,3.0,0.566,Medium
C78,2.157,84.35,115,4.0,0.626,Medium
C79,1.965,75.22,113,2.0,0.496,Medium
C8,1.979,80.41,97,4.0,0.784,Medium
C80,2.0,82.8,93,2.0,0.344,Easy
C81,2.088,81.37,102,3.0,0.559,Medium
C82,1.925,83.18,106,5.0,0.841,Hard
C83,2.164,81.25,127,5.0,0.938,Hard
C84,1.96,80.16,126,3.0,0.595,Medium
C85,1.91,75.94,133,5.0,1.203,Very Hard
C86,1.806,79.84,123,5.0,1.008,Hard
C87,1.923,74.36,116,4.0,1.026,Hard
C88,1.982,82.88,111,2.0,0.342,Easy
C89,1.936,80.0,125,2.0,0.4,Easy
C9,1.805,79.65,113,4.0,0.814,Hard
C90,2.097,82.09,133,5.0,0.895,Hard
C91,1.959,82.64,121,5.0,0.868,Hard
C92,2.148,81.48,107,2.0,0.37,Easy
C93,2.042,78.33,119,4.0,0.867,Hard
C94,1.919,73.39,123,3.0,0.798,Medium
C95,2.193,81.51,118,4.0,0.74,Medium
C96,2.19,81.0,100,4.0,0.76,Medium
C97,2.068,85.44,102,5.0,0.728,Medium
C98,1.83,74.81,135,2.0,0.504,Medium
C99,2.126,78.15,119,4.0,0.874,Hard
